location,date,vaccine,total_vaccinations,month
Argentina,2021-01-22,Oxford/AstraZeneca,16,2021-01
Argentina,2021-01-22,Sinopharm/Beijing,23,2021-01
Argentina,2021-01-22,Sputnik V,298839,2021-01
Argentina,2021-01-23,Moderna,2,2021-01
Argentina,2021-01-23,Oxford/AstraZeneca,21,2021-01
Argentina,2021-01-23,Sinopharm/Beijing,23,2021-01
Argentina,2021-01-23,Sputnik V,302778,2021-01
Argentina,2021-01-24,Moderna,2,2021-01
Argentina,2021-01-24,Oxford/AstraZeneca,22,2021-01
Argentina,2021-01-24,Sinopharm/Beijing,23,2021-01
Argentina,2021-01-24,Sputnik V,303080,2021-01
Argentina,2021-01-25,Moderna,2,2021-01
Argentina,2021-01-25,Oxford/AstraZeneca,30,2021-01
Argentina,2021-01-25,Sinopharm/Beijing,23,2021-01
Argentina,2021-01-25,Sputnik V,317281,2021-01
Argentina,2021-01-26,Moderna,2,2021-01
Argentina,2021-01-26,Oxford/AstraZeneca,68,2021-01
Argentina,2021-01-26,Sinopharm/Beijing,24,2021-01
Argentina,2021-01-26,Sputnik V,330047,2021-01
Argentina,2021-01-27,Moderna,2,2021-01
Argentina,2021-01-27,Oxford/AstraZeneca,70,2021-01
Argentina,2021-01-27,Sinopharm/Beijing,24,2021-01
Argentina,2021-01-27,Sputnik V,340149,2021-01
Argentina,2021-01-28,Moderna,2,2021-01
Argentina,2021-01-28,Oxford/AstraZeneca,70,2021-01
Argentina,2021-01-28,Sinopharm/Beijing,24,2021-01
Argentina,2021-01-28,Sputnik V,356199,2021-01
Argentina,2021-01-29,Moderna,2,2021-01
Argentina,2021-01-29,Oxford/AstraZeneca,71,2021-01
Argentina,2021-01-29,Sinopharm/Beijing,24,2021-01
Argentina,2021-01-29,Sputnik V,379691,2021-01
Argentina,2021-01-30,Moderna,2,2021-01
Argentina,2021-01-30,Oxford/AstraZeneca,71,2021-01
Argentina,2021-01-30,Sinopharm/Beijing,24,2021-01
Argentina,2021-01-30,Sputnik V,389003,2021-01
Argentina,2021-01-31,Moderna,2,2021-01
Argentina,2021-01-31,Oxford/AstraZeneca,71,2021-01
Argentina,2021-01-31,Sinopharm/Beijing,25,2021-01
Argentina,2021-01-31,Sputnik V,389626,2021-01
Argentina,2021-02-01,Moderna,2,2021-02
Argentina,2021-02-01,Oxford/AstraZeneca,89,2021-02
Argentina,2021-02-01,Sinopharm/Beijing,25,2021-02
Argentina,2021-02-01,Sputnik V,409129,2021-02
Argentina,2021-02-02,Moderna,2,2021-02
Argentina,2021-02-02,Oxford/AstraZeneca,122,2021-02
Argentina,2021-02-02,Sinopharm/Beijing,25,2021-02
Argentina,2021-02-02,Sputnik V,432967,2021-02
Argentina,2021-02-03,Moderna,2,2021-02
Argentina,2021-02-03,Oxford/AstraZeneca,130,2021-02
Argentina,2021-02-03,Sinopharm/Beijing,28,2021-02
Argentina,2021-02-03,Sputnik V,459564,2021-02
Argentina,2021-02-04,Moderna,2,2021-02
Argentina,2021-02-04,Oxford/AstraZeneca,135,2021-02
Argentina,2021-02-04,Sinopharm/Beijing,51,2021-02
Argentina,2021-02-04,Sputnik V,487649,2021-02
Argentina,2021-02-05,CanSino,3,2021-02
Argentina,2021-02-05,Moderna,2,2021-02
Argentina,2021-02-05,Oxford/AstraZeneca,140,2021-02
Argentina,2021-02-05,Sinopharm/Beijing,58,2021-02
Argentina,2021-02-05,Sputnik V,520656,2021-02
Argentina,2021-02-06,CanSino,3,2021-02
Argentina,2021-02-06,Moderna,2,2021-02
Argentina,2021-02-06,Oxford/AstraZeneca,140,2021-02
Argentina,2021-02-06,Sinopharm/Beijing,62,2021-02
Argentina,2021-02-06,Sputnik V,531576,2021-02
Argentina,2021-02-07,CanSino,3,2021-02
Argentina,2021-02-07,Moderna,2,2021-02
Argentina,2021-02-07,Oxford/AstraZeneca,140,2021-02
Argentina,2021-02-07,Sinopharm/Beijing,66,2021-02
Argentina,2021-02-07,Sputnik V,532955,2021-02
Argentina,2021-02-08,CanSino,3,2021-02
Argentina,2021-02-08,Moderna,2,2021-02
Argentina,2021-02-08,Oxford/AstraZeneca,142,2021-02
Argentina,2021-02-08,Sinopharm/Beijing,67,2021-02
Argentina,2021-02-08,Sputnik V,556368,2021-02
Argentina,2021-02-09,CanSino,3,2021-02
Argentina,2021-02-09,Moderna,2,2021-02
Argentina,2021-02-09,Oxford/AstraZeneca,144,2021-02
Argentina,2021-02-09,Sinopharm/Beijing,73,2021-02
Argentina,2021-02-09,Sputnik V,576556,2021-02
Argentina,2021-02-10,CanSino,3,2021-02
Argentina,2021-02-10,Moderna,2,2021-02
Argentina,2021-02-10,Oxford/AstraZeneca,147,2021-02
Argentina,2021-02-10,Sinopharm/Beijing,78,2021-02
Argentina,2021-02-10,Sputnik V,592167,2021-02
Argentina,2021-02-11,CanSino,3,2021-02
Argentina,2021-02-11,Moderna,2,2021-02
Argentina,2021-02-11,Oxford/AstraZeneca,150,2021-02
Argentina,2021-02-11,Sinopharm/Beijing,84,2021-02
Argentina,2021-02-11,Sputnik V,610007,2021-02
Argentina,2021-02-12,CanSino,3,2021-02
Argentina,2021-02-12,Moderna,2,2021-02
Argentina,2021-02-12,Oxford/AstraZeneca,151,2021-02
Argentina,2021-02-12,Sinopharm/Beijing,85,2021-02
Argentina,2021-02-12,Sputnik V,625833,2021-02
Argentina,2021-02-13,CanSino,3,2021-02
Argentina,2021-02-13,Moderna,2,2021-02
Argentina,2021-02-13,Oxford/AstraZeneca,153,2021-02
Argentina,2021-02-13,Sinopharm/Beijing,87,2021-02
Argentina,2021-02-13,Sputnik V,628866,2021-02
Argentina,2021-02-14,CanSino,3,2021-02
Argentina,2021-02-14,Moderna,2,2021-02
Argentina,2021-02-14,Oxford/AstraZeneca,153,2021-02
Argentina,2021-02-14,Sinopharm/Beijing,89,2021-02
Argentina,2021-02-14,Sputnik V,629016,2021-02
Argentina,2021-02-15,CanSino,3,2021-02
Argentina,2021-02-15,Moderna,2,2021-02
Argentina,2021-02-15,Oxford/AstraZeneca,153,2021-02
Argentina,2021-02-15,Sinopharm/Beijing,91,2021-02
Argentina,2021-02-15,Sputnik V,630329,2021-02
Argentina,2021-02-16,CanSino,3,2021-02
Argentina,2021-02-16,Moderna,2,2021-02
Argentina,2021-02-16,Oxford/AstraZeneca,165,2021-02
Argentina,2021-02-16,Sinopharm/Beijing,93,2021-02
Argentina,2021-02-16,Sputnik V,631626,2021-02
Argentina,2021-02-17,CanSino,3,2021-02
Argentina,2021-02-17,Moderna,2,2021-02
Argentina,2021-02-17,Oxford/AstraZeneca,176,2021-02
Argentina,2021-02-17,Sinopharm/Beijing,96,2021-02
Argentina,2021-02-17,Sputnik V,655999,2021-02
Argentina,2021-02-18,CanSino,3,2021-02
Argentina,2021-02-18,Moderna,2,2021-02
Argentina,2021-02-18,Oxford/AstraZeneca,207,2021-02
Argentina,2021-02-18,Sinopharm/Beijing,100,2021-02
Argentina,2021-02-18,Sputnik V,719771,2021-02
Argentina,2021-02-19,CanSino,3,2021-02
Argentina,2021-02-19,Moderna,2,2021-02
Argentina,2021-02-19,Oxford/AstraZeneca,389,2021-02
Argentina,2021-02-19,Sinopharm/Beijing,100,2021-02
Argentina,2021-02-19,Sputnik V,787456,2021-02
Argentina,2021-02-20,CanSino,3,2021-02
Argentina,2021-02-20,Moderna,2,2021-02
Argentina,2021-02-20,Oxford/AstraZeneca,537,2021-02
Argentina,2021-02-20,Sinopharm/Beijing,101,2021-02
Argentina,2021-02-20,Sputnik V,819921,2021-02
Argentina,2021-02-21,CanSino,3,2021-02
Argentina,2021-02-21,Moderna,2,2021-02
Argentina,2021-02-21,Oxford/AstraZeneca,935,2021-02
Argentina,2021-02-21,Sinopharm/Beijing,101,2021-02
Argentina,2021-02-21,Sputnik V,839697,2021-02
Argentina,2021-02-22,CanSino,3,2021-02
Argentina,2021-02-22,Moderna,2,2021-02
Argentina,2021-02-22,Oxford/AstraZeneca,23510,2021-02
Argentina,2021-02-22,Sinopharm/Beijing,101,2021-02
Argentina,2021-02-22,Sputnik V,884657,2021-02
Argentina,2021-02-23,CanSino,3,2021-02
Argentina,2021-02-23,Moderna,2,2021-02
Argentina,2021-02-23,Oxford/AstraZeneca,73679,2021-02
Argentina,2021-02-23,Sinopharm/Beijing,103,2021-02
Argentina,2021-02-23,Sputnik V,921408,2021-02
Argentina,2021-02-24,CanSino,3,2021-02
Argentina,2021-02-24,Moderna,2,2021-02
Argentina,2021-02-24,Oxford/AstraZeneca,135717,2021-02
Argentina,2021-02-24,Sinopharm/Beijing,106,2021-02
Argentina,2021-02-24,Sputnik V,953134,2021-02
Argentina,2021-02-25,CanSino,3,2021-02
Argentina,2021-02-25,Moderna,2,2021-02
Argentina,2021-02-25,Oxford/AstraZeneca,188836,2021-02
Argentina,2021-02-25,Sinopharm/Beijing,110,2021-02
Argentina,2021-02-25,Sputnik V,979424,2021-02
Argentina,2021-02-26,CanSino,3,2021-02
Argentina,2021-02-26,Moderna,2,2021-02
Argentina,2021-02-26,Oxford/AstraZeneca,244861,2021-02
Argentina,2021-02-26,Sinopharm/Beijing,119,2021-02
Argentina,2021-02-26,Sputnik V,1005040,2021-02
Argentina,2021-02-27,CanSino,3,2021-02
Argentina,2021-02-27,Moderna,2,2021-02
Argentina,2021-02-27,Oxford/AstraZeneca,258184,2021-02
Argentina,2021-02-27,Sinopharm/Beijing,120,2021-02
Argentina,2021-02-27,Sputnik V,1009594,2021-02
Argentina,2021-02-28,CanSino,3,2021-02
Argentina,2021-02-28,Moderna,2,2021-02
Argentina,2021-02-28,Oxford/AstraZeneca,263527,2021-02
Argentina,2021-02-28,Sinopharm/Beijing,121,2021-02
Argentina,2021-02-28,Sputnik V,1010370,2021-02
Argentina,2021-03-01,CanSino,3,2021-03
Argentina,2021-03-01,Moderna,2,2021-03
Argentina,2021-03-01,Oxford/AstraZeneca,316821,2021-03
Argentina,2021-03-01,Sinopharm/Beijing,823,2021-03
Argentina,2021-03-01,Sputnik V,1030908,2021-03
Argentina,2021-03-02,CanSino,3,2021-03
Argentina,2021-03-02,Moderna,2,2021-03
Argentina,2021-03-02,Oxford/AstraZeneca,368429,2021-03
Argentina,2021-03-02,Sinopharm/Beijing,5775,2021-03
Argentina,2021-03-02,Sputnik V,1049929,2021-03
Argentina,2021-03-03,CanSino,3,2021-03
Argentina,2021-03-03,Moderna,2,2021-03
Argentina,2021-03-03,Oxford/AstraZeneca,404366,2021-03
Argentina,2021-03-03,Sinopharm/Beijing,23601,2021-03
Argentina,2021-03-03,Sputnik V,1067596,2021-03
Argentina,2021-03-04,CanSino,3,2021-03
Argentina,2021-03-04,Moderna,2,2021-03
Argentina,2021-03-04,Oxford/AstraZeneca,430061,2021-03
Argentina,2021-03-04,Sinopharm/Beijing,87899,2021-03
Argentina,2021-03-04,Sputnik V,1089649,2021-03
Argentina,2021-03-05,CanSino,3,2021-03
Argentina,2021-03-05,Moderna,2,2021-03
Argentina,2021-03-05,Oxford/AstraZeneca,454341,2021-03
Argentina,2021-03-05,Sinopharm/Beijing,154403,2021-03
Argentina,2021-03-05,Sputnik V,1110584,2021-03
Argentina,2021-03-06,CanSino,3,2021-03
Argentina,2021-03-06,Moderna,2,2021-03
Argentina,2021-03-06,Oxford/AstraZeneca,462250,2021-03
Argentina,2021-03-06,Sinopharm/Beijing,196825,2021-03
Argentina,2021-03-06,Sputnik V,1115182,2021-03
Argentina,2021-03-07,CanSino,3,2021-03
Argentina,2021-03-07,Moderna,2,2021-03
Argentina,2021-03-07,Oxford/AstraZeneca,467234,2021-03
Argentina,2021-03-07,Sinopharm/Beijing,203265,2021-03
Argentina,2021-03-07,Sputnik V,1115559,2021-03
Argentina,2021-03-08,CanSino,3,2021-03
Argentina,2021-03-08,Moderna,2,2021-03
Argentina,2021-03-08,Oxford/AstraZeneca,498797,2021-03
Argentina,2021-03-08,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-08,Sinopharm/Beijing,256191,2021-03
Argentina,2021-03-08,Sputnik V,1133531,2021-03
Argentina,2021-03-09,CanSino,3,2021-03
Argentina,2021-03-09,Moderna,2,2021-03
Argentina,2021-03-09,Oxford/AstraZeneca,515123,2021-03
Argentina,2021-03-09,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-09,Sinopharm/Beijing,319299,2021-03
Argentina,2021-03-09,Sputnik V,1169871,2021-03
Argentina,2021-03-10,CanSino,3,2021-03
Argentina,2021-03-10,Moderna,2,2021-03
Argentina,2021-03-10,Oxford/AstraZeneca,527198,2021-03
Argentina,2021-03-10,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-10,Sinopharm/Beijing,418012,2021-03
Argentina,2021-03-10,Sputnik V,1223016,2021-03
Argentina,2021-03-11,CanSino,3,2021-03
Argentina,2021-03-11,Moderna,2,2021-03
Argentina,2021-03-11,Oxford/AstraZeneca,537131,2021-03
Argentina,2021-03-11,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-11,Sinopharm/Beijing,502877,2021-03
Argentina,2021-03-11,Sputnik V,1315000,2021-03
Argentina,2021-03-12,CanSino,3,2021-03
Argentina,2021-03-12,Moderna,2,2021-03
Argentina,2021-03-12,Oxford/AstraZeneca,544648,2021-03
Argentina,2021-03-12,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-12,Sinopharm/Beijing,564007,2021-03
Argentina,2021-03-12,Sputnik V,1407959,2021-03
Argentina,2021-03-13,CanSino,3,2021-03
Argentina,2021-03-13,Moderna,2,2021-03
Argentina,2021-03-13,Oxford/AstraZeneca,547621,2021-03
Argentina,2021-03-13,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-13,Sinopharm/Beijing,574509,2021-03
Argentina,2021-03-13,Sputnik V,1440857,2021-03
Argentina,2021-03-14,CanSino,3,2021-03
Argentina,2021-03-14,Moderna,2,2021-03
Argentina,2021-03-14,Oxford/AstraZeneca,547670,2021-03
Argentina,2021-03-14,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-14,Sinopharm/Beijing,581164,2021-03
Argentina,2021-03-14,Sputnik V,1443321,2021-03
Argentina,2021-03-15,CanSino,3,2021-03
Argentina,2021-03-15,Moderna,2,2021-03
Argentina,2021-03-15,Oxford/AstraZeneca,554085,2021-03
Argentina,2021-03-15,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-15,Sinopharm/Beijing,621768,2021-03
Argentina,2021-03-15,Sputnik V,1533852,2021-03
Argentina,2021-03-16,CanSino,3,2021-03
Argentina,2021-03-16,Moderna,2,2021-03
Argentina,2021-03-16,Oxford/AstraZeneca,557201,2021-03
Argentina,2021-03-16,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-16,Sinopharm/Beijing,656429,2021-03
Argentina,2021-03-16,Sputnik V,1629754,2021-03
Argentina,2021-03-17,CanSino,3,2021-03
Argentina,2021-03-17,Moderna,2,2021-03
Argentina,2021-03-17,Oxford/AstraZeneca,559905,2021-03
Argentina,2021-03-17,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-17,Sinopharm/Beijing,679387,2021-03
Argentina,2021-03-17,Sputnik V,1743617,2021-03
Argentina,2021-03-18,CanSino,3,2021-03
Argentina,2021-03-18,Moderna,2,2021-03
Argentina,2021-03-18,Oxford/AstraZeneca,561589,2021-03
Argentina,2021-03-18,Pfizer/BioNTech,1,2021-03
Argentina,2021-03-18,Sinopharm/Beijing,701526,2021-03
Argentina,2021-03-18,Sputnik V,1858704,2021-03
Argentina,2021-03-19,CanSino,3,2021-03
